run_name,d_model,n_layers,G,j,A,top_k,n_experts,d_expert,N_act,N_tot,D,steps,warmup,C,lr
d008_G04_A3_T2M,8,10,4,3,0.375,12,32,8,25600,468992,2000000,244,10,7130880000000,0.012540444596771123
d008_G04_A4_T2M,8,10,4,4,0.5,16,32,8,33280,468992,2000000,244,10,7223040000000,0.01251584646952668
d008_G04_A8_T2M,8,10,4,8,1.0,32,32,8,64000,468992,2000000,244,10,7591680000000,0.012420951161596458
d008_G08_A1_T2M,8,10,8,1,0.125,8,64,4,10240,471552,2000000,244,10,6977280000000,0.012582267251935005
d008_G08_A2_T2M,8,10,8,2,0.25,16,64,4,17920,471552,2000000,244,10,7069440000000,0.012557047863328334
d008_G08_A3_T2M,8,10,8,3,0.375,24,64,4,25600,471552,2000000,244,10,7161600000000,0.012532204695981403
d008_G08_A4_T2M,8,10,8,4,0.5,32,64,4,33280,471552,2000000,244,10,7253760000000,0.012507727403099517
d008_G08_A8_T2M,8,10,8,8,1.0,64,64,4,64000,471552,2000000,244,10,7622400000000,0.01241328400440977
d008_G16_A1_T2M,8,10,16,1,0.125,16,128,2,10240,476672,2000000,244,10,7038720000000,0.012565412000600283
d008_G16_A2_T2M,8,10,16,2,0.25,32,128,2,17920,476672,2000000,244,10,7130880000000,0.012540444596771123
d008_G16_A3_T2M,8,10,16,3,0.375,48,128,2,25600,476672,2000000,244,10,7223040000000,0.01251584646952668
d008_G16_A4_T2M,8,10,16,4,0.5,64,128,2,33280,476672,2000000,244,10,7315200000000,0.0124916075488259
d008_G16_A8_T2M,8,10,16,8,1.0,128,128,2,64000,476672,2000000,244,10,7683840000000,0.012398056011284042
d008_G01_A1_T4M,8,10,1,1,0.125,1,8,32,10240,467072,4000000,488,10,13847040000000,0.01133039475109859
d008_G01_A2_T4M,8,10,1,2,0.25,2,8,32,17920,467072,4000000,488,10,14031360000000,0.011307509562162123
d008_G01_A3_T4M,8,10,1,3,0.375,3,8,32,25600,467072,4000000,488,10,14215680000000,0.011284968369605379
d008_G01_A4_T4M,8,10,1,4,0.5,4,8,32,33280,467072,4000000,488,10,14400000000000,0.011262761641849542
d008_G01_A8_T4M,8,10,1,8,1.0,8,8,32,64000,467072,4000000,488,10,15137280000000,0.011177101703566181
d008_G02_A1_T4M,8,10,2,1,0.125,2,16,16,10240,467712,4000000,488,10,13862400000000,0.011328474273592806
d008_G02_A2_T4M,8,10,2,2,0.25,4,16,16,17920,467712,4000000,488,10,14046720000000,0.01130561812476597
d008_G02_A3_T4M,8,10,2,3,0.375,6,16,16,25600,467712,4000000,488,10,14231040000000,0.011283105162925772
d008_G02_A4_T4M,8,10,2,4,0.5,8,16,16,33280,467712,4000000,488,10,14415360000000,0.011260925889108582
d008_G02_A8_T4M,8,10,2,8,1.0,16,16,16,64000,467712,4000000,488,10,15152640000000,0.011175368593528388
d008_G04_A1_T4M,8,10,4,1,0.125,4,32,8,10240,468992,4000000,488,10,13893120000000,0.011324640667996948
d008_G04_A2_T4M,8,10,4,2,0.25,8,32,8,17920,468992,4000000,488,10,14077440000000,0.011301842393410609
d008_G04_A3_T4M,8,10,4,3,0.375,12,32,8,25600,468992,4000000,488,10,14261760000000,0.011279385695370278
d008_G04_A4_T4M,8,10,4,4,0.5,16,32,8,33280,468992,4000000,488,10,14446080000000,0.011257261139702986
d008_G04_A8_T4M,8,10,4,8,1.0,32,32,8,64000,468992,4000000,488,10,15183360000000,0.011171908441832808
d008_G08_A1_T4M,8,10,8,1,0.125,8,64,4,10240,471552,4000000,488,10,13954560000000,0.01131700269170224
d008_G08_A2_T4M,8,10,8,2,0.25,16,64,4,17920,471552,4000000,488,10,14138880000000,0.011294319348308714
d008_G08_A3_T4M,8,10,8,3,0.375,24,64,4,25600,471552,4000000,488,10,14323200000000,0.011271974393611267
d008_G08_A4_T4M,8,10,8,4,0.5,32,64,4,33280,471552,4000000,488,10,14507520000000,0.011249958521282114
d008_G08_A8_T4M,8,10,8,8,1.0,64,64,4,64000,471552,4000000,488,10,15244800000000,0.011165012288954947
d008_G16_A1_T4M,8,10,16,1,0.125,16,128,2,10240,476672,4000000,488,10,14077440000000,0.011301842393410609
d008_G16_A2_T4M,8,10,16,2,0.25,32,128,2,17920,476672,4000000,488,10,14261760000000,0.011279385695370278
d008_G16_A3_T4M,8,10,16,3,0.375,48,128,2,25600,476672,4000000,488,10,14446080000000,0.011257261139702986
d008_G16_A4_T4M,8,10,16,4,0.5,64,128,2,33280,476672,4000000,488,10,14630400000000,0.01123545966900441
d008_G16_A8_T4M,8,10,16,8,1.0,128,128,2,64000,476672,4000000,488,10,15367680000000,0.011151315612851792
d008_G01_A1_T8M,8,10,1,1,0.125,1,8,32,10240,467072,8000000,976,10,27694080000000,0.010191017670246353
d008_G01_A2_T8M,8,10,1,2,0.25,2,8,32,17920,467072,8000000,976,10,28062720000000,0.01017043380093184
d008_G01_A3_T8M,8,10,1,3,0.375,3,8,32,25600,467072,8000000,976,10,28431360000000,0.010150159335946238
d008_G01_A4_T8M,8,10,1,4,0.5,4,8,32,33280,467072,8000000,976,10,28800000000000,0.010130185702200057
d008_G01_A8_T8M,8,10,1,8,1.0,8,8,32,64000,467072,8000000,976,10,30274560000000,0.010053139671249257
d008_G02_A1_T8M,8,10,2,1,0.125,2,16,16,10240,467712,8000000,976,10,27724800000000,0.01018929031470167
d008_G02_A2_T8M,8,10,2,2,0.25,4,16,16,17920,467712,8000000,976,10,28093440000000,0.01016873256524237
d008_G02_A3_T8M,8,10,2,3,0.375,6,16,16,25600,467712,8000000,976,10,28462080000000,0.010148483492110933
d008_G02_A4_T8M,8,10,2,4,0.5,8,16,16,33280,467712,8000000,976,10,28830720000000,0.010128534551553298
d008_G02_A8_T8M,8,10,2,8,1.0,16,16,16,64000,467712,8000000,976,10,30305280000000,0.010051580841622608
d008_G04_A1_T8M,8,10,4,1,0.125,4,32,8,10240,468992,8000000,976,10,27786240000000,0.01018584221397558
d008_G04_A2_T8M,8,10,4,2,0.25,8,32,8,17920,468992,8000000,976,10,28154880000000,0.01016533651896103
d008_G04_A3_T8M,8,10,4,3,0.375,12,32,8,25600,468992,8000000,976,10,28523520000000,0.010145138051778569
