Loaded LR params from results/lr_params.json: A_eta=1.1576, beta_eta=0.1529
Wrote configs/grid/manifest.csv  (400 rows)

run_name                          d    G   j      A  top_k  n_exp  d_exp      N_act            C         lr
d128_G08_A3_T4M                 128    8   3  37.5%     24     64     64  6.554e+06    3.766e+14 6.8376e-03
d128_G08_A4_T4M                 128    8   4  50.0%     32     64     64  8.520e+06    4.238e+14 6.7153e-03
d128_G08_A8_T4M                 128    8   8 100.0%     64     64     64  1.638e+07    6.126e+14 6.3475e-03
d128_G16_A1_T4M                 128   16   1  12.5%     16    128     32  2.621e+06    2.842e+14 7.1383e-03
d128_G16_A2_T4M                 128   16   2  25.0%     32    128     32  4.588e+06    3.314e+14 6.9726e-03
d128_G16_A3_T4M                 128   16   3  37.5%     48    128     32  6.554e+06    3.786e+14 6.8321e-03
d128_G16_A4_T4M                 128   16   4  50.0%     64    128     32  8.520e+06    4.258e+14 6.7105e-03
d128_G16_A8_T4M                 128   16   8 100.0%    128    128     32  1.638e+07    6.145e+14 6.3444e-03
d128_G01_A1_T8M                 128    1   1  12.5%      1      8    512  2.621e+06    5.611e+14 6.4333e-03
d128_G01_A2_T8M                 128    1   2  25.0%      2      8    512  4.588e+06    6.554e+14 6.2822e-03
d128_G01_A3_T8M                 128    1   3  37.5%      3      8    512  6.554e+06    7.498e+14 6.1543e-03
d128_G01_A4_T8M                 128    1   4  50.0%      4      8    512  8.520e+06    8.442e+14 6.0437e-03
d128_G01_A8_T8M                 128    1   8 100.0%      8      8    512  1.638e+07    1.222e+15 5.7117e-03
d128_G02_A1_T8M                 128    2   1  12.5%      2     16    256  2.621e+06    5.616e+14 6.4324e-03
d128_G02_A2_T8M                 128    2   2  25.0%      4     16    256  4.588e+06    6.559e+14 6.2815e-03
d128_G02_A3_T8M                 128    2   3  37.5%      6     16    256  6.554e+06    7.503e+14 6.1537e-03
d128_G02_A4_T8M                 128    2   4  50.0%      8     16    256  8.520e+06    8.447e+14 6.0432e-03
d128_G02_A8_T8M                 128    2   8 100.0%     16     16    256  1.638e+07    1.222e+15 5.7113e-03
d128_G04_A1_T8M                 128    4   1  12.5%      4     32    128  2.621e+06    5.625e+14 6.4307e-03
d128_G04_A2_T8M                 128    4   2  25.0%      8     32    128  4.588e+06    6.569e+14 6.2800e-03
d128_G04_A3_T8M                 128    4   3  37.5%     12     32    128  6.554e+06    7.513e+14 6.1524e-03
d128_G04_A4_T8M                 128    4   4  50.0%     16     32    128  8.520e+06    8.457e+14 6.0421e-03
d128_G04_A8_T8M                 128    4   8 100.0%     32     32    128  1.638e+07    1.223e+15 5.7106e-03
d128_G08_A1_T8M                 128    8   1  12.5%      8     64     64  2.621e+06    5.645e+14 6.4273e-03
